time,text,note
00:00,我最近真的提不起勁，什麼事情都懶得做。,
00:06,一早醒來就覺得很沉重，好像又要開始一天的折磨了。,
00:14,我常常懷疑自己是不是根本不適合活在這個世界上。,講完後低頭沉默片刻
00:20,就算我努力了，好像也沒什麼改變，一點用都沒有。,
00:29,我怕別人覺得我很情緒化，所以都不敢講太多。,
00:36,有時候真的不知道活著的意義是什麼，感覺好空。,長時間沉默，雙手緊握
00:46,我越想振作就越覺得自己很爛，像個笑話一樣。,
00:54,他們都說我是太敏感，可是我真的很受傷。,
01:01,如果我失去現在這份工作，我應該就完蛋了。,
01:09,大家都靠我，但我其實快撐不下去了。,聲音顫抖，語氣壓低
01:18,我講了也沒人懂，還不如不講。,
01:24,我一直笑，因為我不想讓人看到我崩潰。,小聲地笑了一下，但眼神空洞
01:32,我想要正常地生活，可是身體根本不聽使喚。,
01:40,我不懂我到底在努力什麼，沒有目標也沒有方向。,
01:48,是不是其實沒有人真的在乎我？,望向窗外，聲音輕到幾乎聽不見
01:54,有時候我會想，如果我就這樣消失了，會怎樣？,
02:01,我覺得我只是在撐場面，內心根本早就垮了。,
02:09,我不是不想好起來，只是我不知道要怎麼辦了。,坐姿前傾，低聲說